datetime,strike,quantity,price,notional,bid,ask,side,volatility,hedge,exchange,condition
2021-04-01T13:27:56Z,200,1,2.65,265,2.5,2.65,Ask,160.2,194.07,AMEX,Auto-Execution
2021-04-01T13:27:56Z,200,1,2.65,265,2.5,2.65,Ask,160.7,194.03,ISE-GEMINI,Auto-Execution
2021-04-01T13:27:58Z,200,1,2.64,264,2.57,2.64,Ask,157.7,194.26,NASDAQ,Auto-Execution
2021-04-01T13:27:59Z,200,3,2.94,882,2.65,2.94,Ask,168.4,194.25,NASDAQ,Auto-Execution
2021-04-01T13:27:59Z,200,14,2.93,4102,2.65,2.94,Mid,168.0,194.25,BATS,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.93,Above,168.4,194.25,BOX,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.93,Above,168.4,194.25,NASDAQ-OMX-BX,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.93,Above,168.4,194.25,PEARL,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.93,Above,168.4,194.25,ISE,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.93,Above,168.4,194.25,NASDAQ,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.94,Ask,168.4,194.25,ARCA,Auto-Execution
2021-04-01T13:27:59Z,200,10,2.94,2940,2.65,2.94,Ask,168.4,194.25,ARCA,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.94,294,2.65,2.94,Ask,168.4,194.25,BATS,Auto-Execution
2021-04-01T13:27:59Z,200,16,2.9,4640,2.65,2.94,Mid,167.0,194.25,CBOE,Auto-Execution
2021-04-01T13:27:59Z,200,1,2.65,265,2.57,2.65,Ask,158.1,194.25,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:00Z,200,1,2.74,274,2.67,2.74,Ask,161.3,194.25,PEARL,Auto-Execution
2021-04-01T13:28:00Z,200,1,2.75,275,2.66,2.93,Mid,161.7,194.25,CBOE,Regular
2021-04-01T13:28:00Z,200,1,2.75,275,2.66,2.93,Mid,161.7,194.25,CBOE,Regular
2021-04-01T13:28:00Z,200,1,2.75,275,2.65,2.94,Mid,161.7,194.25,PHLX,Regular
2021-04-01T13:28:02Z,200,1,2.71,271,2.61,2.74,Mid,159.6,194.31,MIAX,Regular
2021-04-01T13:28:03Z,200,1,2.81,281,2.81,2.99,Bid,159.5,194.62,PEARL,Auto-Execution
2021-04-01T13:28:03Z,200,1,2.73,273,2.61,2.99,Mid,156.7,194.62,NASDAQ,Auto-Execution
2021-04-01T13:28:03Z,200,1,2.81,281,2.61,2.99,Mid,161.7,194.43,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:03Z,200,1,2.74,274,2.61,2.74,Ask,160.6,194.31,AMEX,Auto-Execution
2021-04-01T13:28:04Z,200,5,2.74,1370,2.66,2.81,Mid,156.5,194.66,BATS,Auto-Execution
2021-04-01T13:28:04Z,200,2,2.7,540,2.66,2.7,Ask,156.4,194.55,PEARL,Auto-Execution
2021-04-01T13:28:06Z,200,3,3,900,2.69,3,Ask,165.5,194.68,PEARL,Auto-Execution
2021-04-01T13:28:06Z,200,1,3,300,2.69,3,Ask,165.5,194.68,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:06Z,200,20,3,6000,2.69,3,Ask,165.5,194.68,CBOE,Auto-Execution
2021-04-01T13:28:06Z,200,1,2.92,292,2.67,3,Mid,160.7,194.85,EDGX,Regular
2021-04-01T13:28:06Z,200,2,2.93,586,2.67,3,Mid,161.1,194.85,MERCURY,Regular
2021-04-01T13:28:06Z,200,1,2.81,281,2.66,2.81,Ask,160.6,194.53,PEARL,Auto-Execution
2021-04-01T13:28:08Z,200,1,3.05,305,2.83,3.05,Ask,161.8,195.15,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:10Z,200,2,3.05,610,2.91,3.1,Mid,160.7,195.25,MIAX,Regular
2021-04-01T13:28:10Z,200,1,3.05,305,2.91,3.1,Mid,160.7,195.25,MIAX,Regular
2021-04-01T13:28:11Z,200,5,3,1500,2.91,3.2,Mid,159.9,195.16,BATS,Auto-Execution
2021-04-01T13:28:11Z,200,9,3.1,2790,2.91,3.1,Ask,162.5,195.25,PEARL,Auto-Execution
2021-04-01T13:28:11Z,200,1,3.1,310,2.91,3.1,Ask,162.5,195.25,ISE-GEMINI,Inter-Market Sweep
2021-04-01T13:28:12Z,200,1,3.2,320,2.91,3.2,Ask,165.3,195.3,EDGX,Auto-Execution
2021-04-01T13:28:14Z,200,1,3.1,310,2.91,3.1,Ask,162.5,195.24,ARCA,Auto-Execution
2021-04-01T13:28:15Z,200,1,3.2,320,2.92,3.3,Mid,166.0,195.24,CBOE,Inter-Market Sweep
2021-04-01T13:28:16Z,200,1,3.3,330,3.25,3.4,Mid,164.6,195.66,CBOE,Regular
2021-04-01T13:28:16Z,200,1,3.3,330,3.3,3.4,Bid,164.6,195.66,NASDAQ,Auto-Execution
2021-04-01T13:28:16Z,200,3,3.3,990,3.3,3.4,Bid,164.6,195.66,NASDAQ,Auto-Execution
2021-04-01T13:28:16Z,200,1,3.3,330,3.3,3.4,Bid,164.6,195.66,NASDAQ,Auto-Execution
2021-04-01T13:28:17Z,200,5,3.4,1700,3.25,3.4,Ask,168.2,195.66,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:17Z,200,3,3.35,1005,3.35,3.4,Bid,164.3,195.83,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:17Z,200,1,3.33,333,3.25,3.4,Mid,165.7,195.66,EDGX,Regular
2021-04-01T13:28:17Z,200,2,3.35,670,3.25,3.4,Mid,166.4,195.66,MERCURY,Regular
2021-04-01T13:28:18Z,200,5,3.4,1700,3.25,3.4,Ask,166.1,195.83,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:19Z,200,1,3.34,334,3.25,3.4,Mid,164.0,195.83,CBOE,Regular
2021-04-01T13:28:20Z,200,1,3.3,330,3.25,3.3,Ask,162.7,195.83,NASDAQ,Auto-Execution
2021-04-01T13:28:22Z,200,2,3.5,700,3.25,3.5,Ask,168.9,195.87,PEARL,Auto-Execution
2021-04-01T13:28:22Z,200,1,3.5,350,3.25,3.5,Ask,168.9,195.87,EDGX,Auto-Execution
2021-04-01T13:28:22Z,200,1,3.5,350,3.25,3.5,Ask,168.9,195.87,AMEX,Auto-Execution
2021-04-01T13:28:22Z,200,4,3.44,1376,3.25,3.45,Mid,167.0,195.87,MERCURY,Regular
2021-04-01T13:28:22Z,200,2,3.4,680,3.25,3.4,Ask,165.7,195.87,NASDAQ,Auto-Execution
2021-04-01T13:28:23Z,200,1,3.4,340,3.25,3.4,Ask,165.7,195.87,BATS,Auto-Execution
2021-04-01T13:28:23Z,200,10,3.45,3450,3.45,3.5,Bid,167.3,195.87,MIAX,Auto-Execution
2021-04-01T13:28:23Z,200,5,3.45,1725,3.45,3.5,Bid,167.3,195.87,MIAX,Auto-Execution
2021-04-01T13:28:23Z,200,2,3.4,680,3.25,3.5,Mid,165.7,195.87,BATS,Auto-Execution
2021-04-01T13:28:24Z,200,1,3.45,345,3.4,3.45,Ask,167.8,195.83,MIAX,Auto-Execution
2021-04-01T13:28:24Z,200,1,3.35,335,3.25,3.35,Ask,164.3,195.83,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:24Z,200,2,3.45,690,3.4,3.45,Ask,167.8,195.83,MIAX,Auto-Execution
2021-04-01T13:28:24Z,200,2,3.45,690,3.4,3.45,Ask,167.8,195.83,MIAX,Auto-Execution
2021-04-01T13:28:25Z,200,3,3.5,1050,3.25,3.5,Ask,171.9,195.65,PEARL,Auto-Execution
2021-04-01T13:28:25Z,200,1,3.5,350,3.25,3.5,Ask,171.9,195.65,C2,Auto-Execution
2021-04-01T13:28:25Z,200,1,3.5,350,3.25,3.5,Ask,171.9,195.65,C2,Auto-Execution
2021-04-01T13:28:25Z,200,1,3.28,328,3.25,3.5,Mid,164.1,195.65,CBOE,Regular
